Identifier,Id,stock exchange,Ticker_Symbol,isin,name,sector code,type security
I:FNC,1,,,,,,
I:WIG,2, ISE,WIG,IT0004441603,GRUPPO WASTE ITALIA SPA,47.0,Azioni Ordinarie
I:INNO,3, ISE,INC,IT0005412298,INNOVATEC SPA,74.0,AZIONI ORDINAIRE
I:ENT,4, ISE,ENT,IT0004887409,ENERTRONICA SANTERNO SPA,74.0,Ordianry
I:ECK,5, ISE,ECK,IT0005001943,ECOSUNTEK SPA,74.0,Common
I:ELAB,6, ISE,ELAB,IT0005022097,ENERGY LAB SPA,74.0,Ordinary
I:PLTE,7, ISE,PLTE,IT0005024960,PLT ENERGIA SPA,74.0,Ordinary
I:BRE,8," ISE, OTH",BRE,IT0005252728,FRENI BREMBO SPA,63.0,Azioni Ordinarie
I:IMS,9," ISE, OTH",IMS,IT0001413837,IMMSI SPA,248.0,Azioni Ordinarie
I:PIAG,10, ISE,PIA,IT0003073266,PIAGGIO NC SPA,248.0,Aziohi Ordinarie
I:LRZ,11, ISE,LR,IT0004210289,LANDI RENZO S.P.A.,63.0,Azioni Ordinaire
I:PINF,12, ISE,PINF,IT0003056386,PININFARINA S.P.A.,65.0,Azioni Ordinarie
I:SO,13," ISE, OTH",SO,IT0000076536,SOGEFI SPA,63.0,Azioni Ordinarie
I:FCA,14,,,,,,
I:PC,15,,,IT0004623051,,53.0,
I:PIRC,16,,,,,,
U:RACE,17, ISE,RACE,NL0011585146,FERRARI NV,65.0,Common
I:EMC,18, ISE,EMC,IT0005143547,ENERGICA MOTOR COMPANY SPA,65.0,Azioni Ordinaire
I:CPR,19, ISE,CPR,NL0015435975,DAVIDE CAMPARI MILANO NV,68.0,Azioni Ordinarie
I:IWB,20, ISE,IWB,IT0005075764,ITALIAN WINE BRANDS SPA,68.0,Ordinary
I:MZB,21, ISE,MZB,IT0005042467,MASSIMO ZANETTI BEVERAGE GROUP SPA,114.0,Ordinary
I:MASI,22, ISE,MASI,IT0004125677,MASI AGRICOLA SPA,68.0,Azioni Ordinaire
I:ISG,23, ISE,ISG,IT0001069902,ISAGRO SPA,92.0,AZIONI ORDINAIRE
I:SOL,24, ISE,SOL,IT0001206769,SOL SPA,33.0,Azioni Ordinarie
I:BIOO,25, ISE,ON,IT0005056236,BIO-ON SPA,33.0,Ordinary
I:AST,26, ISE,AST,IT0003261069,ASTALDI,39.0,Azioni Ordinaire
I:PAN,27, ISE,PAN,IT0001467577,PANARIA GROUP INDUSTRIE CERAMICHE SPA,30.0,Azioni Ordinaire
I:CALT,28, ISE,CALT,IT0003127930,CALTAGIRONE SPA,30.0,Azioni Ordinarie
I:BOE,29, ISE,BOE,IT0000066966,BOERO BARTOLOMEO SPA,30.0,Azioni Ordinarie
I:TFI,30, ISE,TFI,IT0005422768,TREVI FINANZIARIA INDUSTRIALE,216.0,Azioni Ordinarie
I:VE,31, ISE,VE,IT0005433732,VISIBILIA EDITORE SPA,84.0,Azioni ordinaire
I:VIN,32, ISE,VIA,IT0003127898,VIANINI SPA,30.0,Azioni Ordinarie
I:RIC,33, ISE,RIC,IT0003690283,GRUPPO CERAMICHE RICCHETTI S.P.A.,30.0,Azioni Ordinaire
I:ITCF,34," FRA, ISE, OTH",IT,IT0001465159,ITALCEMENTI SPA,30.0,Azioni Ordinarie
I:CEM,35, ISE,CEM,NL0013995087,CEMENTIR HOLDING NV,206.0,Azioni Ordinarie
I:BZU,36, ISE,BZU,IT0001347308,BUZZI UNICEM SPA,206.0,Azioni Ordinarie
I:ITM,37, ISE,ITM,IT0005253205,ITALMOBILIARE SPA,113.0,Azioni Ordinarie
I:IPG,38, ISE,WBD,IT0003865570,WEBUILD SPA,39.0,Azioni Ordinarie
I:ARN,39," LON, ISE, OTH",ARN,IT0004720733,ALERION CLEANPOWER SPA,96.0,Azioni Ordinarie
I:FKR,40, ISE,FKR,IT0003198790,FALCK RENEWABLES SPA,96.0,Azioni Ordinaire
I:KRE,41, ISE,SERI,IT0005283640,SERI INDUSTRIAL SPA,101.0,AZIONI ORDINARIE
I:ENEL,42, ISE,ENEL,IT0003128367,ENEL SPA,169.0,Azioni Ordinaire
I:TRN,43, ISE,TRN,IT0003242622,TERNA RETE ELETTRICA NAZIONALE SPA,169.0,Ordinaire
I:ECA,44, ISE,ECA,IT0004370448,ERGYCAPITAL SPA,96.0,Azioni Ordinaire
I:TER,45,,,,,,
I:ACE,46, ISE,ACE,IT0001207098,ACEA SPA,169.0,Azioni Ordinarie
I:A2A,47, ISE,A2A,IT0001233417,A2A SPA,169.0,Azioni Ordinaire
I:EGPW,48," FRA, MAD, ISE",EGPW,IT0004618465,ENEL GREEN POWER SPA,96.0,Ordinary
I:FDE,49, ISE,FDE,IT0004819857,FRENDY ENERGY SPA,96.0,Ordinary
I:IEBA,50, ISE,IB,IT0005037905,INIZIATIVE BRESCIANE INBRE SPA,96.0,Ordinary
I:TEW,51,,,,,,
I:ELIN,52, ISE,ELIN,IT0004745607,ELETTRA INVESTIMENTI SPA,96.0,Azioni Ordinaire
I:SG,53," ISE, OTH",SG,IT0001029492,SAES GETTERS SPA,258.0,Azioni Ordinarie
